"Team","Status","N_sets_played","Sets_won","Points_won","SO_TOT","SO_JUMP","SO_FLOAT","mod_SO","EXP_SO","R_POS","FBSO","OPP_FBSO","KILL","OPP_KILL","EFF","TRANS_KILL","TRANS_OPP_KILL","TRANS_KILL_BP","TRANS_EFF","REC_ATT_KILL","REC_ATT_EFF","R_POS_KILL","BP_TOT","BP_JUMP","BP_FLOAT","mod_BP","EXP_BP","ACE","BLOCK_BP","BLOCK_SER_R","ERRS_per_100","ERRS2_per_100","PTS_per_100","CAR_BP","CAR"
"Belgium","Challenger",61,44.3,49,60.8,63.6,60.2,55.8,58,42.8,35.2,37.1,36.3,41.5,24.2,32.9,39.5,33.3,20,39.6,28.2,43.7,36.8,33,37.6,36.5,39.3,6.6,6.3,6.1,11.2,6.7,36.5,33.2,34.9
"Brazil","Core",52,80.8,56.8,71.3,74.3,70.8,68,60.3,53.6,44.7,32.8,45.6,35,35.2,42.5,32.4,42,30.9,49.1,40,53.3,45.4,46.2,45.4,46.6,38.7,4.2,9.3,9.4,9.2,5.5,44.2,40,40.3
"Canada","Challenger",56,30.4,45.4,54.1,54.9,54,50,53.5,26.7,32.1,37,39.2,42.8,23.6,38.9,42.7,37.1,23.8,39.4,23.5,47.5,35.2,,35.2,36.4,37.5,5.6,8.2,7.9,13.4,8.3,36.1,33.4,32.3
"China","Core",56,62.5,52.1,62.7,76.1,61.4,59,57.8,46.9,38.9,37.3,42.4,40.1,31.5,40.4,37.7,42.2,28.5,44.4,34.6,51.2,42.3,36.7,42.6,42.5,38.8,4.6,8.4,8.5,7.9,4.8,41.4,36.4,37.2
"Dominican Republic","Challenger",59,57.6,50.2,63.1,67,62.4,58.5,56.9,39.9,36.1,36.6,40,38.6,27.5,38,35.4,36.9,25.2,42.2,29.9,48.8,37.4,36.8,37.7,38.8,37,4.7,5.2,5.1,11.2,6.4,37.9,38.1,39.9
"Germany","Core",54,40.7,48.8,60,55.2,60.7,55.8,57.9,48.6,37.9,36.9,41.8,42.1,28,39.1,40.1,40,25,44,30.4,46.6,37.3,36.1,37.7,38.4,38.5,7.4,7.7,7.3,13.8,7.6,38.7,31.7,33
"Italy","Core",59,40.7,48.7,62.8,65.2,62.5,57.9,56.9,42.3,36.7,39.6,39.5,41.3,25.1,35.8,36.9,34.8,20.7,43.1,29.1,46.6,34.1,31.7,35,34.5,37.3,5.7,6.5,7.2,12.9,8,36.9,32.8,36
"Japan","Core",54,66.7,52.8,66.1,69.9,65.5,61.4,60,55.4,37.9,35.9,40,38.4,28.1,38.4,34.7,37.4,26.2,41.9,30.3,46.3,40.8,18.2,41.2,40,40,6,5,4.9,8.2,5.1,40.5,40.8,42
"Korea","Core",56,28.6,47.2,58.3,61.3,57.8,53.7,56.2,42.3,31.8,39.2,36.3,41.9,22.1,34.6,39.2,33.5,19.2,37.8,25,42.6,35.1,34.2,35.2,35.2,37.8,5.4,5,5,11,6.8,34.7,36.6,37.8
"Netherlands","Core",56,53.6,51,64.6,71.6,63.5,60.2,58.4,48.3,39.6,35.2,40.5,39.3,28.9,36.3,38,36.9,23.4,44.8,34.3,53,37.8,41.3,37.4,39.1,37.2,5.3,6.9,6.8,11,5.7,39.3,36.4,37.4
"Poland","Challenger",60,40,49.5,63.1,54.5,64.7,59,56.7,42.8,38.9,37.9,42.1,42.3,27.5,38.3,41,38.7,22.7,45.3,31.5,53,35.9,32.5,36.4,36.3,37.9,5.3,8.3,8.5,11.2,6.7,38.6,31,33.7
"Russia","Core",56,53.6,50.6,60.5,55.8,61.1,56.9,55.2,39.1,36.9,36.5,43,40.4,29.7,42.4,38,43.9,30.3,43.6,29.2,51,40.9,42.9,39.7,41.6,38.3,6.1,8.8,9.1,9.9,5.2,39.9,31.9,32.9
"Serbia","Core",55,36.4,46.8,55.7,55.6,55.8,51.1,55.9,40.8,30,36.4,34.2,39.3,17.7,32.8,37,31.1,16.7,35.6,18.6,38.7,36.7,,36.7,37.5,37.7,5.4,8.1,6.9,13.2,8.8,35.7,36.7,36.7
"Thailand","Core",51,21.6,44.5,55.6,53.8,55.9,49.8,57,45.9,30.6,44.6,33,44.7,18.9,30.4,39.9,31.1,15.7,35.7,22.2,41.6,31.1,25,31.2,30.4,38,4.1,2.7,2.6,7.9,5.2,31.7,33,37.4
"Turkey","Core",58,62.1,51.3,61.7,62.2,61.7,56.9,57.9,49.6,38.3,33.6,42.1,37.6,26.6,40.1,35.2,40.8,25.2,44,28,50.9,41.3,45.9,40.7,42,39.7,6.6,9,9.6,12.8,8.2,41.2,38.4,38.7
"USA","Core",49,85.7,56.3,71.4,74.1,71,67.8,59.1,50.2,44.4,30.5,45.7,34.3,35.5,42.3,32,40.7,31.6,49.7,39.9,56.7,44,44.2,44,45.3,39.5,7.2,8.3,9.1,11.4,5.7,45,39.8,41
